 0f010c24|sidt [esp] 
 0f010d00000000|sidt [0x0] 
 0f010e|sidt [esi] 
 0f010f|sidt [edi] 
 0f0113|lgdt [ebx] 
 0f0113|lgdt [ebx] 
 0f011424|lgdt [esp] 
 0f011424|lgdt [esp] 
 0f011500000000|lgdt [0x0] 
 0f011500000000|lgdt [0x0] 
 0f0116|lgdt [esi] 
 0f0116|lgdt [esi] 
 0f0117|lgdt [edi] 
 0f0117|lgdt [edi] 
 0f011b|lidt [ebx] 
 0f011c24|lidt [esp] 
 0f011d00000000|lidt [0x0] 
 0f011e|lidt [esi] 
 0f011f|lidt [edi] 
 0f0133|lmsw [ebx] 
 0f013424|lmsw [esp] 
 0f013500000000|lmsw [0x0] 
 0f0136|lmsw [esi] 
 0f0137|lmsw [edi] 
 0f014500|sgdt [ebp] 
 0f014d00|sidt [ebp] 
 0f015500|lgdt [ebp] 
 0f015500|lgdt [ebp] 
 0f015d00|lidt [ebp] 
 0f017500|lmsw [ebp] 
 0f01f0|lmsw ax 
 0f01f1|lmsw cx 
 0f01f2|lmsw dx 
 0f01f3|lmsw bx 
 0f01f4|lmsw sp 
 0f01f5|lmsw bp 
 0f01f6|lmsw si 
 0f01f7|lmsw di 
0f0303|lsl eax,[ebx]
0f030424|lsl eax,[esp]
0f030500000000|lsl eax,[0x0]
0f0306|lsl eax,[esi]
0f0307|lsl eax,[edi]
0f030b|lsl ecx,[ebx]
0f030c24|lsl ecx,[esp]
0f030d00000000|lsl ecx,[0x0]
0f030e|lsl ecx,[esi]
0f030f|lsl ecx,[edi]
0f031b|lsl ebx,[ebx]
0f031c24|lsl ebx,[esp]
0f031d00000000|lsl ebx,[0x0]
0f031e|lsl ebx,[esi]
0f031f|lsl ebx,[edi]
0f0323|lsl esp,[ebx]
0f032424|lsl esp,[esp]
0f032500000000|lsl esp,[0x0]
0f0326|lsl esp,[esi]
0f0327|lsl esp,[edi]
0f032b|lsl ebp,[ebx]
0f032c24|lsl ebp,[esp]
0f032d00000000|lsl ebp,[0x0]
0f032e|lsl ebp,[esi]
0f032f|lsl ebp,[edi]
0f0333|lsl esi,[ebx]
0f033424|lsl esi,[esp]
0f033500000000|lsl esi,[0x0]
0f0336|lsl esi,[esi]
0f0337|lsl esi,[edi]
0f033b|lsl edi,[ebx]
0f033c24|lsl edi,[esp]
0f033d00000000|lsl edi,[0x0]
0f033e|lsl edi,[esi]
0f033f|lsl edi,[edi]
0f034500|lsl eax,[ebp]
0f034d00|lsl ecx,[ebp]
0f035d00|lsl ebx,[ebp]
0f036500|lsl esp,[ebp]
0f036d00|lsl ebp,[ebp]
0f037500|lsl esi,[ebp]
0f037d00|lsl edi,[ebp]
0f03c0|lsl eax,ax
0f03c0|lsl eax,eax
0f03c1|lsl eax,cx
0f03c1|lsl eax,ecx
0f03c2|lsl eax,dx
0f03c3|lsl eax,bx
0f03c3|lsl eax,ebx
0f03c4|lsl eax,esp
0f03c4|lsl eax,sp
0f03c5|lsl eax,bp
0f03c5|lsl eax,ebp
0f03c6|lsl eax,esi
0f03c6|lsl eax,si
0f03c7|lsl eax,di
0f03c7|lsl eax,edi
0f03c8|lsl ecx,ax
0f03c8|lsl ecx,eax
0f03c9|lsl ecx,cx
0f03c9|lsl ecx,ecx
0f03ca|lsl ecx,dx
0f03cb|lsl ecx,bx
0f03cb|lsl ecx,ebx
0f03cc|lsl ecx,esp
0f03cc|lsl ecx,sp
0f03cd|lsl ecx,bp
0f03cd|lsl ecx,ebp
0f03ce|lsl ecx,esi
0f03ce|lsl ecx,si
0f03cf|lsl ecx,di
0f03cf|lsl ecx,edi
0f03d8|lsl ebx,ax
0f03d8|lsl ebx,eax
0f03d9|lsl ebx,cx
0f03d9|lsl ebx,ecx
0f03da|lsl ebx,dx
0f03db|lsl ebx,bx
0f03db|lsl ebx,ebx
0f03dc|lsl ebx,esp
0f03dc|lsl ebx,sp
0f03dd|lsl ebx,bp
0f03dd|lsl ebx,ebp
0f03de|lsl ebx,esi
0f03de|lsl ebx,si
0f03df|lsl ebx,di
0f03df|lsl ebx,edi
0f03e0|lsl esp,ax
0f03e0|lsl esp,eax
0f03e1|lsl esp,cx
0f03e1|lsl esp,ecx
0f03e2|lsl esp,dx
0f03e3|lsl esp,bx
0f03e3|lsl esp,ebx
0f03e4|lsl esp,esp
0f03e4|lsl esp,sp
0f03e5|lsl esp,bp
0f03e5|lsl esp,ebp
0f03e6|lsl esp,esi
0f03e6|lsl esp,si
0f03e7|lsl esp,di
0f03e7|lsl esp,edi
0f03e8|lsl ebp,ax
0f03e8|lsl ebp,eax
0f03e9|lsl ebp,cx
0f03e9|lsl ebp,ecx
0f03ea|lsl ebp,dx
0f03eb|lsl ebp,bx
0f03eb|lsl ebp,ebx
0f03ec|lsl ebp,esp
0f03ec|lsl ebp,sp
0f03ed|lsl ebp,bp
0f03ed|lsl ebp,ebp
0f03ee|lsl ebp,esi
0f03ee|lsl ebp,si
0f03ef|lsl ebp,di
0f03ef|lsl ebp,edi
0f03f0|lsl esi,ax
0f03f0|lsl esi,eax
0f03f1|lsl esi,cx
0f03f1|lsl esi,ecx
0f03f2|lsl esi,dx
0f03f3|lsl esi,bx
0f03f3|lsl esi,ebx
0f03f4|lsl esi,esp
0f03f4|lsl esi,sp
0f03f5|lsl esi,bp
0f03f5|lsl esi,ebp
0f03f6|lsl esi,esi
0f03f6|lsl esi,si
0f03f7|lsl esi,di
0f03f7|lsl esi,edi
0f03f8|lsl edi,ax
0f03f8|lsl edi,eax
0f03f9|lsl edi,cx
0f03f9|lsl edi,ecx
0f03fa|lsl edi,dx
0f03fb|lsl edi,bx
0f03fb|lsl edi,ebx
0f03fc|lsl edi,esp
0f03fc|lsl edi,sp
0f03fd|lsl edi,bp
0f03fd|lsl edi,ebp
0f03fe|lsl edi,esi
0f03fe|lsl edi,si
0f03ff|lsl edi,di
0f03ff|lsl edi,edi
 0f06|clts 
 0f08|invd 
 0f09|wbinvd 
0f1003|umov [ebx],al
0f100424|umov [esp],al
0f100500000000|umov [0x0],al
0f1006|umov [esi],al
0f1007|umov [edi],al
0f100b|umov [ebx],cl
0f100c24|umov [esp],cl
0f100d00000000|umov [0x0],cl
0f100e|umov [esi],cl
0f100f|umov [edi],cl
0f1013|umov [ebx],dl
0f101424|umov [esp],dl
0f101500000000|umov [0x0],dl
0f1016|umov [esi],dl
0f1017|umov [edi],dl
0f101b|umov [ebx],bl
0f101c24|umov [esp],bl
0f101d00000000|umov [0x0],bl
0f101e|umov [esi],bl
0f101f|umov [edi],bl
0f1023|umov [ebx],ah
0f102424|umov [esp],ah
0f102500000000|umov [0x0],ah
0f1026|umov [esi],ah
0f1027|umov [edi],ah
0f102b|umov [ebx],ch
0f102c24|umov [esp],ch
0f102d00000000|umov [0x0],ch
0f102e|umov [esi],ch
0f102f|umov [edi],ch
0f1033|umov [ebx],dh
0f103424|umov [esp],dh
0f103500000000|umov [0x0],dh
0f1036|umov [esi],dh
0f1037|umov [edi],dh
0f103b|umov [ebx],bh
0f103c24|umov [esp],bh
0f103d00000000|umov [0x0],bh
0f103e|umov [esi],bh
0f103f|umov [edi],bh
0f104500|umov [ebp],al
0f104d00|umov [ebp],cl
0f105500|umov [ebp],dl
0f105d00|umov [ebp],bl
0f106500|umov [ebp],ah
0f106d00|umov [ebp],ch
0f107500|umov [ebp],dh
0f107d00|umov [ebp],bh
0f10c0|umov al,al
0f10c1|umov cl,al
0f10c2|umov dl,al
0f10c3|umov bl,al
