 0f01f1|lmsw cx 
 0f01f2|lmsw dx 
 0f01f3|lmsw bx 
 0f01f4|lmsw sp 
 0f01f5|lmsw bp 
 0f01f6|lmsw si 
 0f01f7|lmsw di 
0f0304|lsl ax,[si]
0f0305|lsl ax,[di]
0f03060000|lsl ax,[0x0]
0f0307|lsl ax,[bx]
0f030c|lsl cx,[si]
0f030d|lsl cx,[di]
0f030e0000|lsl cx,[0x0]
0f030f|lsl cx,[bx]
0f0314|lsl dx,[si]
0f0315|lsl dx,[di]
0f03160000|lsl dx,[0x0]
0f0317|lsl dx,[bx]
0f031c|lsl bx,[si]
0f031d|lsl bx,[di]
0f031e0000|lsl bx,[0x0]
0f031f|lsl bx,[bx]
0f0324|lsl sp,[si]
0f0325|lsl sp,[di]
0f03260000|lsl sp,[0x0]
0f0327|lsl sp,[bx]
0f032c|lsl bp,[si]
0f032d|lsl bp,[di]
0f032e0000|lsl bp,[0x0]
0f032f|lsl bp,[bx]
0f0334|lsl si,[si]
0f0335|lsl si,[di]
0f03360000|lsl si,[0x0]
0f0337|lsl si,[bx]
0f033c|lsl di,[si]
0f033d|lsl di,[di]
0f033e0000|lsl di,[0x0]
0f033f|lsl di,[bx]
0f034600|lsl ax,[bp]
0f034e00|lsl cx,[bp]
0f035600|lsl dx,[bp]
0f035e00|lsl bx,[bp]
0f036600|lsl sp,[bp]
0f036e00|lsl bp,[bp]
0f037600|lsl si,[bp]
0f037e00|lsl di,[bp]
0f03c0|lsl ax,ax
0f03c0|lsl ax,eax
0f03c1|lsl ax,cx
0f03c1|lsl ax,ecx
0f03c2|lsl ax,dx
0f03c3|lsl ax,bx
0f03c3|lsl ax,ebx
0f03c4|lsl ax,esp
0f03c4|lsl ax,sp
0f03c5|lsl ax,bp
0f03c5|lsl ax,ebp
0f03c6|lsl ax,esi
0f03c6|lsl ax,si
0f03c7|lsl ax,di
0f03c7|lsl ax,edi
0f03c8|lsl cx,ax
0f03c8|lsl cx,eax
0f03c9|lsl cx,cx
0f03c9|lsl cx,ecx
0f03ca|lsl cx,dx
0f03cb|lsl cx,bx
0f03cb|lsl cx,ebx
0f03cc|lsl cx,esp
0f03cc|lsl cx,sp
0f03cd|lsl cx,bp
0f03cd|lsl cx,ebp
0f03ce|lsl cx,esi
0f03ce|lsl cx,si
0f03cf|lsl cx,di
0f03cf|lsl cx,edi
0f03d0|lsl dx,ax
0f03d0|lsl dx,eax
0f03d1|lsl dx,cx
0f03d1|lsl dx,ecx
0f03d2|lsl dx,dx
0f03d3|lsl dx,bx
0f03d3|lsl dx,ebx
0f03d4|lsl dx,esp
0f03d4|lsl dx,sp
0f03d5|lsl dx,bp
0f03d5|lsl dx,ebp
0f03d6|lsl dx,esi
0f03d6|lsl dx,si
0f03d7|lsl dx,di
0f03d7|lsl dx,edi
0f03d8|lsl bx,ax
0f03d8|lsl bx,eax
0f03d9|lsl bx,cx
0f03d9|lsl bx,ecx
0f03da|lsl bx,dx
0f03db|lsl bx,bx
0f03db|lsl bx,ebx
0f03dc|lsl bx,esp
0f03dc|lsl bx,sp
0f03dd|lsl bx,bp
0f03dd|lsl bx,ebp
0f03de|lsl bx,esi
0f03de|lsl bx,si
0f03df|lsl bx,di
0f03df|lsl bx,edi
0f03e0|lsl sp,ax
0f03e0|lsl sp,eax
0f03e1|lsl sp,cx
0f03e1|lsl sp,ecx
0f03e2|lsl sp,dx
0f03e3|lsl sp,bx
0f03e3|lsl sp,ebx
0f03e4|lsl sp,esp
0f03e4|lsl sp,sp
0f03e5|lsl sp,bp
0f03e5|lsl sp,ebp
0f03e6|lsl sp,esi
0f03e6|lsl sp,si
0f03e7|lsl sp,di
0f03e7|lsl sp,edi
0f03e8|lsl bp,ax
0f03e8|lsl bp,eax
0f03e9|lsl bp,cx
0f03e9|lsl bp,ecx
0f03ea|lsl bp,dx
0f03eb|lsl bp,bx
0f03eb|lsl bp,ebx
0f03ec|lsl bp,esp
0f03ec|lsl bp,sp
0f03ed|lsl bp,bp
0f03ed|lsl bp,ebp
0f03ee|lsl bp,esi
0f03ee|lsl bp,si
0f03ef|lsl bp,di
0f03ef|lsl bp,edi
0f03f0|lsl si,ax
0f03f0|lsl si,eax
0f03f1|lsl si,cx
0f03f1|lsl si,ecx
0f03f2|lsl si,dx
0f03f3|lsl si,bx
0f03f3|lsl si,ebx
0f03f4|lsl si,esp
0f03f4|lsl si,sp
0f03f5|lsl si,bp
0f03f5|lsl si,ebp
0f03f6|lsl si,esi
0f03f6|lsl si,si
0f03f7|lsl si,di
0f03f7|lsl si,edi
0f03f8|lsl di,ax
0f03f8|lsl di,eax
0f03f9|lsl di,cx
0f03f9|lsl di,ecx
0f03fa|lsl di,dx
0f03fb|lsl di,bx
0f03fb|lsl di,ebx
0f03fc|lsl di,esp
0f03fc|lsl di,sp
0f03fd|lsl di,bp
0f03fd|lsl di,ebp
0f03fe|lsl di,esi
0f03fe|lsl di,si
0f03ff|lsl di,di
0f03ff|lsl di,edi
 0f06|clts 
 0f08|invd 
 0f09|wbinvd 
0f1004|umov [si],al
0f1005|umov [di],al
0f10060000|umov [0x0],al
0f1007|umov [bx],al
0f100c|umov [si],cl
0f100d|umov [di],cl
0f100e0000|umov [0x0],cl
0f100f|umov [bx],cl
0f1014|umov [si],dl
0f1015|umov [di],dl
0f10160000|umov [0x0],dl
0f1017|umov [bx],dl
0f101c|umov [si],bl
0f101d|umov [di],bl
0f101e0000|umov [0x0],bl
0f101f|umov [bx],bl
0f1024|umov [si],ah
0f1025|umov [di],ah
0f10260000|umov [0x0],ah
0f1027|umov [bx],ah
0f102c|umov [si],ch
0f102d|umov [di],ch
0f102e0000|umov [0x0],ch
0f102f|umov [bx],ch
0f1034|umov [si],dh
0f1035|umov [di],dh
0f10360000|umov [0x0],dh
0f1037|umov [bx],dh
0f103c|umov [si],bh
0f103d|umov [di],bh
0f103e0000|umov [0x0],bh
0f103f|umov [bx],bh
0f104600|umov [bp],al
0f104e00|umov [bp],cl
0f105600|umov [bp],dl
0f105e00|umov [bp],bl
0f106600|umov [bp],ah
0f106e00|umov [bp],ch
0f107600|umov [bp],dh
0f107e00|umov [bp],bh
0f10c0|umov al,al
0f10c1|umov cl,al
0f10c2|umov dl,al
0f10c3|umov bl,al
0f10c4|umov ah,al
0f10c5|umov ch,al
0f10c6|umov dh,al
0f10c7|umov bh,al
0f10c8|umov al,cl
0f10c9|umov cl,cl
0f10ca|umov dl,cl
0f10cb|umov bl,cl
0f10cc|umov ah,cl
0f10cd|umov ch,cl
0f10ce|umov dh,cl
0f10cf|umov bh,cl
0f10d0|umov al,dl
0f10d1|umov cl,dl
0f10d2|umov dl,dl
0f10d3|umov bl,dl
0f10d4|umov ah,dl
0f10d5|umov ch,dl
0f10d6|umov dh,dl
0f10d7|umov bh,dl
0f10d8|umov al,bl
0f10d9|umov cl,bl
0f10da|umov dl,bl
0f10db|umov bl,bl
0f10dc|umov ah,bl
0f10dd|umov ch,bl
0f10de|umov dh,bl
0f10df|umov bh,bl
0f10e0|umov al,ah
0f10e1|umov cl,ah
0f10e2|umov dl,ah
0f10e3|umov bl,ah
0f10e4|umov ah,ah
0f10e5|umov ch,ah
0f10e6|umov dh,ah
0f10e7|umov bh,ah
0f10e8|umov al,ch
0f10e9|umov cl,ch
0f10ea|umov dl,ch
0f10eb|umov bl,ch
0f10ec|umov ah,ch
0f10ed|umov ch,ch
0f10ee|umov dh,ch
0f10ef|umov bh,ch
0f10f0|umov al,dh
0f10f1|umov cl,dh
0f10f2|umov dl,dh
0f10f3|umov bl,dh
0f10f4|umov ah,dh
0f10f5|umov ch,dh
0f10f6|umov dh,dh
0f10f7|umov bh,dh
0f10f8|umov al,bh
0f10f9|umov cl,bh
0f10fa|umov dl,bh
0f10fb|umov bl,bh
0f10fc|umov ah,bh
0f10fd|umov ch,bh
0f10fe|umov dh,bh
